"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"s__Collinsella_sp_An268","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_sp_An268"
"s__Collinsella_sp_An307","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_sp_An307"
"s__Collinsella_sp_An7","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_sp_An7"
"s__Collinsella_sp_CAG_289","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_sp_CAG_289"
"s__Collinsella_stercoris","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_stercoris"
"s__Collinsella_tanakaei","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_tanakaei"
"s__Collinsella_massiliensis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Collinsella_massiliensis"
"s__Enorma_massiliensis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma_massiliensis"
"s__Senegalimassilia_anaerobia","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Senegalimassilia","Senegalimassilia_anaerobia"
"s__Coriobacteriales_bacterium_DNF00809","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriales_unclassified","Coriobacteriales_unclassified","Coriobacteriales_bacterium_DNF00809"
"s__Adlercreutzia_equolifaciens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia_equolifaciens"
"s__Cryptobacterium_curtum","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium_curtum"
"s__Cryptobacterium_sp_CAG_338","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium_sp_CAG_338"
"s__Eggerthella_lenta","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_lenta"
"s__Eggerthella_sinensis","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sinensis"
"s__Eggerthella_sp_CAG_1427","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sp_CAG_1427"
"s__Eggerthella_sp_CAG_209","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sp_CAG_209"
"s__Eggerthella_sp_CAG_368","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sp_CAG_368"
"s__Eggerthella_sp_YY7918","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sp_YY7918"
"s__Enterorhabdus_caecimuris","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Enterorhabdus","Enterorhabdus_caecimuris"
"s__Enteroscipio_rubneri","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Enteroscipio","Enteroscipio_rubneri"
"s__Gordonibacter_pamelaeae","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_pamelaeae"
"s__Gordonibacter_sp_28C","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_sp_28C"
"s__Gordonibacter_sp_An232A","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_sp_An232A"
"s__Gordonibacter_urolithinfaciens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_urolithinfaciens"
"s__Paraeggerthella_hongkongensis","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Paraeggerthella","Paraeggerthella_hongkongensis"
"s__Rubneribacter_badeniensis","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Rubneribacter","Rubneribacter_badeniensis"
"s__Slackia_exigua","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_exigua"
"s__Slackia_isoflavoniconvertens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_isoflavoniconvertens"
"s__Slackia_piriformis","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_piriformis"
"s__Bacteroidetes_oral_taxon_274","Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_oral_taxon_274"
"s__Bacteroides_cellulosilyticus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_cellulosilyticus"
"s__Bacteroides_clarus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_clarus"
"s__Bacteroides_coprocola","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_coprocola"
"s__Bacteroides_coprophilus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_coprophilus"
"s__Bacteroides_eggerthii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_eggerthii"
"s__Bacteroides_faecichinchillae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_faecichinchillae"
"s__Bacteroides_faecis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_faecis"
"s__Bacteroides_fluxus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fluxus"
"s__Bacteroides_fragilis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis"
"s__Bacteroides_galacturonicus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_galacturonicus"
"s__Bacteroides_graminisolvens","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_graminisolvens"
"s__Bacteroides_intestinalis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_intestinalis"
"s__Bacteroides_massiliensis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_massiliensis"
"s__Bacteroides_nordii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_nordii"
"s__Bacteroides_oleiciplenus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_oleiciplenus"
"s__Bacteroides_salyersiae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_salyersiae"
"s__Bacteroides_sartorii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sartorii"
"s__Bacteroides_sp_43_108","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_43_108"
"s__Bacteroides_sp_CAG_1060","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_1060"
"s__Bacteroides_sp_CAG_1076","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_1076"
"s__Bacteroides_sp_CAG_144","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_144"
"s__Bacteroides_sp_CAG_443","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_443"
"s__Bacteroides_sp_CAG_462","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_462"
"s__Bacteroides_sp_CAG_530","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_530"
"s__Bacteroides_sp_CAG_545","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_545"
"s__Bacteroides_sp_CAG_598","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_598"
"s__Bacteroides_sp_CAG_633","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_633"
"s__Bacteroides_sp_CAG_661","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_661"
"s__Bacteroides_sp_CAG_709","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_709"
"s__Bacteroides_sp_CAG_714","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_714"
"s__Bacteroides_sp_CAG_754","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_754"
"s__Bacteroides_sp_CAG_770","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_770"
"s__Bacteroides_sp_CAG_875","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_875"
"s__Bacteroides_sp_CAG_927","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CAG_927"
"s__Bacteroides_sp_OM08_11","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_OM08_11"
"s__Bacteroides_stercorirosoris","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_stercorirosoris"
"s__Bacteroidales_bacterium_KA00251","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified","Bacteroidales_bacterium_KA00251"
"s__Barnesiella_sp_An22","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_sp_An22"
"s__Barnesiella_viscericola","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_viscericola"
"s__Coprobacter_fastidiosus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter_fastidiosus"
"s__Coprobacter_secundus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter_secundus"
"s__Coprobacter_sp","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter_sp"
"s__Dysgonomonas_gadei","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonamonadaceae","Dysgonomonas","Dysgonomonas_gadei"
"s__Dysgonomonas_mossii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonamonadaceae","Dysgonomonas","Dysgonomonas_mossii"
"s__Dysgonomonas_sp_37_18","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonamonadaceae","Dysgonomonas","Dysgonomonas_sp_37_18"
"s__Butyricimonas_sp","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas_sp"
"s__Butyricimonas_synergistica","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas_synergistica"
"s__Butyricimonas_virosa","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas_virosa"
"s__Odoribacter_laneus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter_laneus"
"s__Porphyromonas_asaccharolytica","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_asaccharolytica"
"s__Porphyromonas_endodontalis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_endodontalis"
"s__Porphyromonas_somerae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_somerae"
"s__Porphyromonas_sp_31_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_sp_31_2"
"s__Porphyromonas_sp_HMSC065F10","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_sp_HMSC065F10"
"s__Porphyromonas_sp_HMSC077F02","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_sp_HMSC077F02"
"s__Porphyromonas_uenonis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_uenonis"
"s__Sanguibacteroides_justesenii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Sanguibacteroides","Sanguibacteroides_justesenii"
"s__Alloprevotella_tannerae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella_tannerae"
"s__Paraprevotella_clara","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella_clara"
"s__Paraprevotella_xylaniphila","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella_xylaniphila"
"s__Prevotella_amnii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_amnii"
"s__Prevotella_bergensis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_bergensis"
"s__Prevotella_bivia","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_bivia"
"s__Prevotella_buccae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_buccae"
"s__Prevotella_buccalis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_buccalis"
"s__Prevotella_colorans","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_colorans"
"s__Prevotella_copri","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_copri"
"s__Prevotella_corporis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_corporis"
"s__Prevotella_dentalis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_dentalis"
"s__Prevotella_denticola","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_denticola"
"s__Prevotella_disiens","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_disiens"
"s__Prevotella_histicola","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_histicola"
"s__Prevotella_intermedia","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_intermedia"
"s__Prevotella_jejuni","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_jejuni"
"s__Prevotella_melaninogenica","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_melaninogenica"
"s__Prevotella_nigrescens","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_nigrescens"
"s__Prevotella_oralis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_oralis"
"s__Prevotella_oris","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_oris"
"s__Prevotella_pallens","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_pallens"
"s__Prevotella_salivae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_salivae"
"s__Prevotella_sp_109","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_109"
"s__Prevotella_sp_885","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_885"
"s__Prevotella_sp_AM42_24","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_AM42_24"
"s__Prevotella_sp_CAG_1031","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_1031"
"s__Prevotella_sp_CAG_1092","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_1092"
"s__Prevotella_sp_CAG_1185","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_1185"
"s__Prevotella_sp_CAG_279","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_279"
"s__Prevotella_sp_CAG_386","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_386"
"s__Prevotella_sp_CAG_485","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_485"
"s__Prevotella_sp_CAG_487","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_487"
"s__Prevotella_sp_CAG_520","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_520"
"s__Prevotella_sp_CAG_5226","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_5226"
"s__Prevotella_sp_CAG_604","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_604"
"s__Prevotella_sp_CAG_617","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_617"
"s__Prevotella_sp_CAG_732","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_732"
"s__Prevotella_sp_CAG_755","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_755"
"s__Prevotella_sp_CAG_873","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_873"
"s__Prevotella_sp_CAG_891","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_CAG_891"
"s__Prevotella_sp_S7_1_8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_S7_1_8"
"s__Prevotella_sp_oral_taxon_376","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_sp_oral_taxon_376"
"s__Prevotella_stercorea","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_stercorea"
"s__Prevotella_timonensis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_timonensis"
"s__Alistipes_indistinctus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_indistinctus"
"s__Alistipes_inops","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_inops"
"s__Alistipes_obesi","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_obesi"
"s__Alistipes_onderdonkii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_onderdonkii"
"s__Alistipes_shahii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_shahii"
"s__Alistipes_sp_58_9_plus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_58_9_plus"
"s__Alistipes_sp_An31A","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_An31A"
"s__Alistipes_sp_CAG_268","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_CAG_268"
"s__Alistipes_sp_CAG_435","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_CAG_435"
"s__Alistipes_sp_CAG_514","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_CAG_514"
"s__Alistipes_sp_CHKCI003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp_CHKCI003"
"s__Alistipes_timonensis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_timonensis"
"s__Rikenella_microfusus","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","Rikenella_microfusus"
"s__Parabacteroides_goldsteinii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_goldsteinii"
"s__Parabacteroides_gordonii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_gordonii"
"s__Parabacteroides_johnsonii","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_johnsonii"
"s__Parabacteroides_sp_CAG_409","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_sp_CAG_409"
"s__Chryseobacterium_bovis","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium_bovis"
"s__Pedobacter_himalayensis","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_himalayensis"
"s__Candidatus_Gastranaerophilales_bacterium","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_bacterium"
"s__Candidatus_Gastranaerophilales_bacterium_HUM_10","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_bacterium_HUM_10"
"s__Candidatus_Gastranaerophilales_bacterium_HUM_11","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_bacterium_HUM_11"
"s__Candidatus_Gastranaerophilales_bacterium_HUM_18","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_bacterium_HUM_18"
"s__Candidatus_Gastranaerophilales_bacterium_HUM_21","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_bacterium_HUM_21"
"s__Candidatus_Melainabacteria_bacterium_35_41","Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Melainabacteria_unclassified","Candidatus_Melainabacteria_unclassified","Candidatus_Melainabacteria_unclassified","Candidatus_Melainabacteria_bacterium_35_41"
"s__Candidatus_Saccharibacteria_oral_taxon_TM7x","Bacteria","Candidatus_Saccharibacteria","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_oral_taxon_TM7x"
"s__Arthrospira_platensis","Bacteria","Cyanobacteria","Cyanobacteria_unclassified","Oscillatoriales","Microcoleaceae","Arthrospira","Arthrospira_platensis"
"s__Bacillus_cereus_group","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_cereus_group"
"s__Bacillus_coagulans","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_coagulans"
"s__Bacillus_glycinifermentans","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_glycinifermentans"
"s__Bacillus_smithii","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_smithii"
"s__Bacillus_subtilis_group","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_subtilis_group"
"s__Bacillus_thermoamylovorans","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_thermoamylovorans"
"s__Gemella_bergeri","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella","Gemella_bergeri"
"s__Gemella_haemolysans","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella","Gemella_haemolysans"
"s__Gemella_morbillorum","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella","Gemella_morbillorum"
"s__Gemella_sanguinis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Gemella","Gemella_sanguinis"
"s__Brochothrix_thermosphacta","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Brochothrix","Brochothrix_thermosphacta"
