"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"s__Firmicutes_bacterium_AF16_15","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_AF16_15"
"s__Blautia_obeum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_obeum"
"s__Bifidobacterium_adolescentis","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_adolescentis"
"s__Coprococcus_comes","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus_comes"
"s__Firmicutes_bacterium_CAG_65_45_313","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_CAG_65_45_313"
"s__Eubacterium_ramulus","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium_ramulus"
"s__Firmicutes_bacterium_CAG_114","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_CAG_114"
"s__Barnesiella_intestinihominis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_intestinihominis"
"s__Eubacterium_sp_CAG_274","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium_sp_CAG_274"
"s__Firmicutes_bacterium_CAG_103","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_CAG_103"
"s__Clostridium_sp_CAG_58","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_sp_CAG_58"
"s__Subdoligranulum_sp","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum_sp"
"s__Collinsella_aerofaciens","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens"
"s__Agathobaculum_butyriciproducens","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Agathobaculum_butyriciproducens"
"s__Ruminococcus_gnavus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Ruminococcus_gnavus"
"s__Firmicutes_bacterium_CAG_83","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_CAG_83"
"s__Bacteroides_xylanisolvens","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens"
"s__Asaccharobacter_celatus","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Asaccharobacter","Asaccharobacter_celatus"
"s__Roseburia_hominis","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia_hominis"
"s__Monoglobus_pectinilyticus","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Monoglobus","Monoglobus_pectinilyticus"
"s__Bacteroides_sp_D2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_D2"
"s__Firmicutes_bacterium_CAG_41","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_bacterium_CAG_41"
"s__Blautia_sp_CAG_52","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_sp_CAG_52"
"s__Eggerthella_sp_CAG_298","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_sp_CAG_298"
"s__Intestinibacter_bartlettii","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"s__Ruminococcus_callidus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus_callidus"
"s__Eubacterium_siraeum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified","Eubacterium_siraeum"
"s__Eubacterium_rectale","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Eubacterium_rectale"
"s__Methanobrevibacter_arboriphilus","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter_arboriphilus"
"s__Methanobrevibacter_smithii","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter_smithii"
