sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SRR5935769,SRR5935769,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935769_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935769_2.fastq.gz,
SRR5935770,SRR5935770,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935770_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935770_2.fastq.gz,
SRR5935771,SRR5935771,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935771_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935771_2.fastq.gz,
SRR5935772,SRR5935772,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935772_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935772_2.fastq.gz,
SRR5935773,SRR5935773,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935773_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935773_2.fastq.gz,
SRR5935774,SRR5935774,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935774_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935774_2.fastq.gz,
SRR5935775,SRR5935775,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935775_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935775_2.fastq.gz,
SRR5935776,SRR5935776,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935776_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935776_2.fastq.gz,
SRR5935777,SRR5935777,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935777_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935777_2.fastq.gz,
SRR5935778,SRR5935778,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935778_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935778_2.fastq.gz,
SRR5935779,SRR5935779,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935779_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935779_2.fastq.gz,
SRR5935780,SRR5935780,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935780_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935780_2.fastq.gz,
SRR5935781,SRR5935781,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935781_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935781_2.fastq.gz,
SRR5935782,SRR5935782,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935782_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935782_2.fastq.gz,
SRR5935783,SRR5935783,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935783_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935783_2.fastq.gz,
SRR5935784,SRR5935784,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935784_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935784_2.fastq.gz,
SRR5935785,SRR5935785,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935785_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935785_2.fastq.gz,
SRR5935786,SRR5935786,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935786_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935786_2.fastq.gz,
SRR5935787,SRR5935787,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935787_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935787_2.fastq.gz,
SRR5935788,SRR5935788,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935788_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935788_2.fastq.gz,
SRR5935789,SRR5935789,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935789_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935789_2.fastq.gz,
SRR5935790,SRR5935790,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935790_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935790_2.fastq.gz,
SRR5935791,SRR5935791,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935791_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935791_2.fastq.gz,
SRR5935792,SRR5935792,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935792_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935792_2.fastq.gz,
SRR5935793,SRR5935793,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935793_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935793_2.fastq.gz,
SRR5935794,SRR5935794,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935794_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935794_2.fastq.gz,
