sample,run,instrument,fastq_1,fastq_2
SRR5935769,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935769_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935769_2.fastq.gz
SRR5935770,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935770_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935770_2.fastq.gz
SRR5935771,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935771_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935771_2.fastq.gz
SRR5935772,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935772_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935772_2.fastq.gz
SRR5935773,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935773_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935773_2.fastq.gz
SRR5935774,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935774_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935774_2.fastq.gz
SRR5935775,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935775_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935775_2.fastq.gz
SRR5935776,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935776_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935776_2.fastq.gz
SRR5935777,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935777_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935777_2.fastq.gz
SRR5935778,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935778_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935778_2.fastq.gz
SRR5935779,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935779_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935779_2.fastq.gz
SRR5935780,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935780_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935780_2.fastq.gz
SRR5935781,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935781_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935781_2.fastq.gz
SRR5935782,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935782_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935782_2.fastq.gz
SRR5935783,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935783_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935783_2.fastq.gz
SRR5935784,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935784_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935784_2.fastq.gz
SRR5935785,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935785_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935785_2.fastq.gz
SRR5935786,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935786_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935786_2.fastq.gz
SRR5935787,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935787_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935787_2.fastq.gz
SRR5935788,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935788_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935788_2.fastq.gz
SRR5935789,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935789_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935789_2.fastq.gz
SRR5935790,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935790_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935790_2.fastq.gz
SRR5935791,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935791_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935791_2.fastq.gz
SRR5935792,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935792_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935792_2.fastq.gz
SRR5935793,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935793_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935793_2.fastq.gz
SRR5935794,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935794_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935794_2.fastq.gz
SRR5935795,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935795_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935795_2.fastq.gz
SRR5935796,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935796_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935796_2.fastq.gz
